년도,귤도매가격,귤소매가격,오렌지도매가격,오렌지소매가격,사과도매가격,배도매가격,딸기도매가격,감도매가격,바나나도매가격,참다래도매가격(수입)
1998,10885,11929,21830,45000,23580,19660,32250,20540,16590,32300
1999,6206,11933,30530,93240,24270,30040,35790,17510,10880,33190
2000,7417,11800,14240,52580,17460,14560,26330,10600,8610,32130
2001,6356,11067,17780,51290,21430,18680,32750,15000,8870,31330
2002,5312,8867,22410,63440,27500,16510,34850,18000,11390,30640
2003,9075,26300,17700,56280,22660,14620,43200,17590,10660,33510
2004,12609,27000,18720,58280,36010,26480,43380,19540,10310,35080
2005,12133,16500,16700,63520,41280,19550,49150,22930,9880,35050
2006,13026,31800,18650,63380,30310,13420,46880,18750,10400,31220
2007,7101,13100,23090,70610,30950,22210,59720,21370,10780,30700
2008,12719,22100,19320,60350,29200,13370,59920,17860,12830,32550
2009,11353,19300,27400,80370,30960,18680,58650,20750,15830,37830
2010,13191,31200,26020,79850,32680,19080,68800,24200,13520,38380
2011,13883,24400,26787,20623,40950,27490,70250,25520,13730,39330
2012,12481,25800,26565,19365,47500,29660,73460,24460,13900,42530
2013,14480,28700,22678,19050,39920,31520,67460,23740,17600,41270
2014,10885,24900,26853,20640,44720,26590,78620,20930,17770,43290
2015,10952,26300,27743,21073,36720,21290,80210,15840,17700,41240
2016,15087,30700,26458,21525,32120,25020,84440,18290,19670,36800
2017,18019,33300,27288,22948,33500,24960,80320,22280,17120,33690
2018,16432,32200,27240,24760,33840,22300,79640,26550,16040,37680
2019,18540,25660,29140,18065,33490,30320,74160,25190,17130,36540
