년도, 귤도매가격,귤소매가격,오렌지도매가격,오렌지소매가격,생산자물가지수(감귤),소비자물가지수(감귤),1인당 가처분소득,1인당 연간소비량(kg),gdp_deflator
1985,,,,,52.76,37.358,,9.1,
1986,,,,,41.75,33.855,,,
1987,,,,,50.6,47.416,,,
1988,,,,,58.17,45.652,,,
1989,,3660.666667,,,63.41,49.12,,,
1990,,,,,54.55,40.04,,11.5,
1991,,,,,112.21,77.318,,,
1992,,6015.333333,,,89.08,70.595,,,
1993,,,,,67.07,59.76,26996.3636,,55.196
1994,,,,,88.38,66.633,33604.5671,,59.699
1995,,9236,,,160.07,105.888,40425.1011,13.6,63.893
1996,11210,14324,,,101.8,74.804,47421.3951,,66.519
1997,6984.666667,8108.666667,,,144.93,107.468,52751.275,,69.182
1998,10884.66667,11929.33333,21830,45000,95.98,80.644,57194.3727,,72.279
1999,6206,11933.33333,30530,93240,113.29,102.156,58382.742,,71.39
2000,7417.333333,11800,14240,52580,58.74,55.41,61964.6448,11.9,72.119
2001,6356,11066.66667,17780,51290,90.97,79.033,68150.2896,,74.628
2002,5312,8866.666667,22410,63440,84.83,84.325,75338.7816,13.3,76.892
2003,9075,26300,17700,56280,57.45,63.62,82105.3168,13,79.544
2004,12609,27000,18720,58280,96.77,85.198,90825.8304,12,82.032
2005,12133,16500,16700,63520,143.35,106.735,95684.7528,13.1,82.887
2006,13026,31800,18650,63380,100.05,84.334,99341.6424,12.7,82.702
2007,7101,13100,23090,70610,157.5,109.137,107368.2552,16,84.702
2008,12719,22100,19320,60350,59.02,67.663,116943.7992,13,87.096
2009,11353,19300,27400,80370,73.2,93.346,124746.3936,15.2,90.239
2010,13191,31200,26020,79850,83.75,90.059,135189.722,12.4,92.71
2011,13883,24400,26787.22222,20622.5,78.69,106.469,143419.8052,13.6,93.898
2012,12481,25800,26565,19365,234.13,136.033,150357.9495,13.7,95.073
2013,14480,28700,22678.33333,19050,83.44,108,158296.4244,13.4,96.042
2014,10885,24900,26853.33333,20640,98.63,112.867,165256.0476,14.2,96.913
2015,10952,26300,27743.33333,21072.5,100,100,181470,12.5,100
2016,15087,30700,26457.77778,21525,126.65,107.89,188929.065,11.9,101.986
2017,18019,33300,27287.77778,22947.5,217.11,192.25,199467.2649,11.6,104.253
2018,16432,32200,27240,24760,95.83,160.81,209110.9216,11.8,104.744
2019,18540,25660,29140,18065,,146.82,,,
,,,,,,,,,
